start was called at 06/29/2022, 19:31:44
('127.0.0.1', 56564) asked for /
('127.0.0.1', 56564) asked for /main.js
('127.0.0.1', 56564) asked for /favicon.ico
('127.0.0.1', 56564) asked for /
close was called at 06/29/2022, 19:31:55
start was called at 06/30/2022, 12:27:04
('127.0.0.1', 52458) asked for /
('127.0.0.1', 52458) asked for /main.js
('127.0.0.1', 52458) asked for /
('127.0.0.1', 52458) asked for /main.js
('127.0.0.1', 52458) asked for /
close was called at 06/30/2022, 12:27:14
start was called at 06/30/2022, 16:41:39
close was called at 06/30/2022, 16:41:58
